vote_id,city,region,candidate,party,event_time
12923,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:59:08Z
12924,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:28:47Z
12925,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:52:17Z
12926,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:08:37Z
12927,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:51:14Z
12928,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:30:32Z
12929,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:59:47Z
12930,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:28:31Z
12931,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:48:32Z
12932,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:33:36Z
12933,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:12:14Z
12934,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:40:46Z
12935,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:15:47Z
12936,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:50:29Z
12937,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:21:48Z
12938,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:47:56Z
12939,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:01:29Z
12940,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:41:54Z
12941,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:30:05Z
12942,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:39:53Z
12943,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:53:05Z
12944,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:14:42Z
12945,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:17:34Z
12946,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:46:45Z
12947,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:59:53Z
12948,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:18:23Z
12949,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:59:09Z
12950,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:09:27Z
12951,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:04:58Z
12952,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:08:56Z
12953,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:39:17Z
12954,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:07:31Z
12955,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:20:33Z
12956,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:29:50Z
12957,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:59:18Z
12958,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:53:25Z
12959,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:44:50Z
12960,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:25:20Z
12961,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:00:17Z
12962,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:12:42Z
12963,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:10:03Z
12964,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:53:45Z
12965,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:13:22Z
12966,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:19:58Z
12967,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:33:41Z
12968,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:31:30Z
12969,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:37:33Z
12970,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:58:30Z
12971,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:47:04Z
12972,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:58:20Z
12973,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:47:44Z
12974,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:45:36Z
12975,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:49:49Z
12976,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:47:43Z
12977,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:00:25Z
12978,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:19:35Z
12979,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:23:32Z
12980,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:33:38Z
12981,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:49:21Z
12982,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:38:43Z
12983,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:31:39Z
12984,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:58:34Z
12985,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:59:53Z
12986,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:09:20Z
12987,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:25:30Z
12988,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:07:56Z
12989,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:58:59Z
12990,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:35:28Z
12991,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:19:53Z
12992,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:47:39Z
12993,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:44:44Z
12994,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:03:32Z
12995,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:31:19Z
12996,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:01:39Z
12997,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:13:53Z
12998,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:15:42Z
12999,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:44:21Z
13000,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:41:42Z
13001,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:36:09Z
13002,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:09:08Z
13003,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:06:23Z
13004,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:19:58Z
13005,Arequipa,Arequipa,Carlos Ruiz,Green,2026-05-29T08:30:54Z
13006,Arequipa,Arequipa,Ana Torres,Blue,2026-05-29T08:37:55Z
