vote_id,city,region,candidate,party,event_time
22076,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:43:30Z
22077,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:09:32Z
22078,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:06:01Z
22079,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:00:35Z
22080,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:38:29Z
22081,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:10:54Z
22082,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:12:33Z
22083,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:08:43Z
22084,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:22:15Z
22085,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:06:19Z
22086,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:49:59Z
22087,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:18:07Z
22088,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:23:06Z
22089,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:24:06Z
22090,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:32:45Z
22091,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:40:07Z
22092,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:43:16Z
22093,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:25:08Z
22094,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:57:17Z
22095,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:49:10Z
22096,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:13:30Z
22097,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:30:56Z
22098,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:43:46Z
22099,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:08:54Z
22100,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:15:41Z
22101,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:33:05Z
22102,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:27:04Z
22103,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:28:12Z
22104,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:03:04Z
22105,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:18:38Z
22106,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:04:47Z
22107,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:19:26Z
22108,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:09:49Z
22109,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:29:19Z
22110,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:20:57Z
22111,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:14:36Z
22112,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:03:55Z
22113,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:12:37Z
22114,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:42:14Z
22115,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:57:46Z
22116,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:32:12Z
22117,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:03:09Z
22118,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:37:12Z
22119,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:05:17Z
22120,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:15:03Z
22121,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:53:56Z
22122,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:33:13Z
22123,Cusco,Cusco,Carlos Ruiz,Green,2026-05-29T08:10:35Z
22124,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:12:12Z
22125,Cusco,Cusco,Ana Torres,Blue,2026-05-29T08:40:18Z
