vote_id,city,region,candidate,party,event_time
1,Lima,Lima,Ana Torres,Blue,2026-05-29T08:35:21Z
2,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:34:56Z
3,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:51:56Z
4,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:10:24Z
5,Lima,Lima,Ana Torres,Blue,2026-05-29T08:14:45Z
6,Lima,Lima,Ana Torres,Blue,2026-05-29T08:59:10Z
7,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:24:54Z
8,Lima,Lima,Ana Torres,Blue,2026-05-29T08:07:50Z
9,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:14:48Z
10,Lima,Lima,Ana Torres,Blue,2026-05-29T08:02:00Z
11,Lima,Lima,Ana Torres,Blue,2026-05-29T08:22:21Z
12,Lima,Lima,Ana Torres,Blue,2026-05-29T08:09:27Z
13,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:15:00Z
14,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:05:41Z
15,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:49:40Z
16,Lima,Lima,Ana Torres,Blue,2026-05-29T08:47:12Z
17,Lima,Lima,Ana Torres,Blue,2026-05-29T08:08:38Z
18,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:18:16Z
19,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:18:40Z
20,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:32:52Z
21,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:13:36Z
22,Lima,Lima,Ana Torres,Blue,2026-05-29T08:06:16Z
23,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:23:47Z
24,Lima,Lima,Ana Torres,Blue,2026-05-29T08:48:20Z
25,Lima,Lima,Ana Torres,Blue,2026-05-29T08:37:38Z
26,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:44:30Z
27,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:20:05Z
28,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:31:53Z
29,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:50:52Z
30,Lima,Lima,Ana Torres,Blue,2026-05-29T08:55:13Z
31,Lima,Lima,Ana Torres,Blue,2026-05-29T08:33:50Z
32,Lima,Lima,Ana Torres,Blue,2026-05-29T08:29:46Z
33,Lima,Lima,Ana Torres,Blue,2026-05-29T08:34:59Z
34,Lima,Lima,Ana Torres,Blue,2026-05-29T08:27:18Z
35,Lima,Lima,Ana Torres,Blue,2026-05-29T08:13:10Z
36,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:17:04Z
37,Lima,Lima,Ana Torres,Blue,2026-05-29T08:11:48Z
38,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:13:30Z
39,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:46:54Z
40,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:57:45Z
41,Lima,Lima,Ana Torres,Blue,2026-05-29T08:48:58Z
42,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:19:11Z
43,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:26:49Z
44,Lima,Lima,Ana Torres,Blue,2026-05-29T08:07:01Z
45,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:39:50Z
46,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:54:08Z
47,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:52:19Z
48,Lima,Lima,Ana Torres,Blue,2026-05-29T08:40:06Z
49,Lima,Lima,Ana Torres,Blue,2026-05-29T08:21:16Z
50,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:11:18Z
51,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:54:12Z
52,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:14:03Z
53,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:49:17Z
54,Lima,Lima,Ana Torres,Blue,2026-05-29T08:33:18Z
55,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:29:35Z
56,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:30:27Z
57,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:28:55Z
58,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:40:42Z
59,Lima,Lima,Ana Torres,Blue,2026-05-29T08:51:00Z
60,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:18:32Z
61,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:55:41Z
62,Lima,Lima,Ana Torres,Blue,2026-05-29T08:21:45Z
63,Lima,Lima,Ana Torres,Blue,2026-05-29T08:42:31Z
64,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:07:20Z
65,Lima,Lima,Ana Torres,Blue,2026-05-29T08:41:27Z
66,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:26:08Z
67,Lima,Lima,Ana Torres,Blue,2026-05-29T08:29:18Z
68,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:13:38Z
69,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:38:43Z
70,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:24:05Z
71,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:25:31Z
72,Lima,Lima,Ana Torres,Blue,2026-05-29T08:43:11Z
73,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:55:56Z
74,Lima,Lima,Ana Torres,Blue,2026-05-29T08:04:23Z
75,Lima,Lima,Ana Torres,Blue,2026-05-29T08:30:40Z
76,Lima,Lima,Ana Torres,Blue,2026-05-29T08:11:25Z
77,Lima,Lima,Ana Torres,Blue,2026-05-29T08:02:18Z
78,Lima,Lima,Ana Torres,Blue,2026-05-29T08:34:54Z
79,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:17:16Z
80,Lima,Lima,Ana Torres,Blue,2026-05-29T08:40:03Z
81,Lima,Lima,Ana Torres,Blue,2026-05-29T08:27:58Z
82,Lima,Lima,Ana Torres,Blue,2026-05-29T08:20:02Z
83,Lima,Lima,Ana Torres,Blue,2026-05-29T08:41:13Z
84,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:56:26Z
85,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:59:53Z
86,Lima,Lima,Ana Torres,Blue,2026-05-29T08:44:02Z
87,Lima,Lima,Ana Torres,Blue,2026-05-29T08:36:12Z
88,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:24:02Z
89,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:27:11Z
90,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:02:02Z
91,Lima,Lima,Ana Torres,Blue,2026-05-29T08:07:49Z
92,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:12:16Z
93,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:55:13Z
94,Lima,Lima,Ana Torres,Blue,2026-05-29T08:22:01Z
95,Lima,Lima,Ana Torres,Blue,2026-05-29T08:29:18Z
96,Lima,Lima,Ana Torres,Blue,2026-05-29T08:53:59Z
97,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:12:41Z
98,Lima,Lima,Ana Torres,Blue,2026-05-29T08:24:25Z
99,Lima,Lima,Ana Torres,Blue,2026-05-29T08:16:44Z
100,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:04:57Z
101,Lima,Lima,Ana Torres,Blue,2026-05-29T08:14:41Z
102,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:44:50Z
103,Lima,Lima,Ana Torres,Blue,2026-05-29T08:25:22Z
104,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:25:23Z
105,Lima,Lima,Ana Torres,Blue,2026-05-29T08:09:54Z
106,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:53:12Z
107,Lima,Lima,Ana Torres,Blue,2026-05-29T08:21:27Z
108,Lima,Lima,Ana Torres,Blue,2026-05-29T08:08:20Z
109,Lima,Lima,Ana Torres,Blue,2026-05-29T08:00:39Z
110,Lima,Lima,Ana Torres,Blue,2026-05-29T08:21:44Z
111,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:46:59Z
112,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:00:44Z
113,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:48:56Z
114,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:22:27Z
115,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:14:35Z
116,Lima,Lima,Ana Torres,Blue,2026-05-29T08:31:46Z
117,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:38:44Z
118,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:54:17Z
119,Lima,Lima,Ana Torres,Blue,2026-05-29T08:21:57Z
120,Lima,Lima,Carlos Ruiz,Green,2026-05-29T08:15:52Z
121,Lima,Lima,Ana Torres,Blue,2026-05-29T08:38:20Z
