departamento,candidato,total_votos
AMAZONAS,OLLANTA MOISES HUMALA TASSO,182
AMAZONAS,MARCO ANTONIO ARANA ZEGARRA,112
AMAZONAS,JULIO ARMANDO GUZMAN CACERES,281
AMAZONAS,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,35
AMAZONAS,GEORGE PATRICK FORSYTH SOMMER,630
AMAZONAS,YONHY LESCANO ANCIETA,1338
AMAZONAS,HERNANDO DE SOTO POLAR,1132
AMAZONAS,DANIEL BELIZARIO URRESTI ELERA,333
AMAZONAS,VERONIKA FANNY MENDOZA FRISCH,1314
AMAZONAS,ALBERTO ISMAEL BEINGOLEA DELGADO,125
AMAZONAS,KEIKO SOFIA FUJIMORI HIGUCHI,1222
AMAZONAS,JOSE ALEJANDRO VEGA ANTONIO,30
AMAZONAS,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,1225
AMAZONAS,CIRO ALFREDO GALVEZ HERRERA,36
AMAZONAS,DANIEL ENRIQUE SALAVERRY VILLA,213
AMAZONAS,JOSE PEDRO CASTILLO TERRONES,1695
AMAZONAS,ANDRES AVELINO ALCANTARA PAREDES,36
AMAZONAS,CESAR ACUÑA PERALTA,1009
AMAZONAS,OLLANTA MOISES HUMALA TASSO,15
AMAZONAS,MARCO ANTONIO ARANA ZEGARRA,0
AMAZONAS,JULIO ARMANDO GUZMAN CACERES,2
AMAZONAS,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,1
AMAZONAS,GEORGE PATRICK FORSYTH SOMMER,8
AMAZONAS,YONHY LESCANO ANCIETA,17
AMAZONAS,HERNANDO DE SOTO POLAR,1
AMAZONAS,DANIEL BELIZARIO URRESTI ELERA,2
AMAZONAS,VERONIKA FANNY MENDOZA FRISCH,6
AMAZONAS,ALBERTO ISMAEL BEINGOLEA DELGADO,0
AMAZONAS,KEIKO SOFIA FUJIMORI HIGUCHI,6
AMAZONAS,JOSE ALEJANDRO VEGA ANTONIO,0
AMAZONAS,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,6
AMAZONAS,CIRO ALFREDO GALVEZ HERRERA,1
AMAZONAS,DANIEL ENRIQUE SALAVERRY VILLA,3
AMAZONAS,JOSE PEDRO CASTILLO TERRONES,14
AMAZONAS,ANDRES AVELINO ALCANTARA PAREDES,0
AMAZONAS,CESAR ACUÑA PERALTA,8
AMAZONAS,OLLANTA MOISES HUMALA TASSO,9
AMAZONAS,MARCO ANTONIO ARANA ZEGARRA,3
AMAZONAS,JULIO ARMANDO GUZMAN CACERES,5
AMAZONAS,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,1
AMAZONAS,GEORGE PATRICK FORSYTH SOMMER,25
AMAZONAS,YONHY LESCANO ANCIETA,52
AMAZONAS,HERNANDO DE SOTO POLAR,4
AMAZONAS,DANIEL BELIZARIO URRESTI ELERA,2
AMAZONAS,VERONIKA FANNY MENDOZA FRISCH,28
AMAZONAS,ALBERTO ISMAEL BEINGOLEA DELGADO,1
AMAZONAS,KEIKO SOFIA FUJIMORI HIGUCHI,49
AMAZONAS,JOSE ALEJANDRO VEGA ANTONIO,2
AMAZONAS,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,21
AMAZONAS,CIRO ALFREDO GALVEZ HERRERA,2
AMAZONAS,DANIEL ENRIQUE SALAVERRY VILLA,10
AMAZONAS,JOSE PEDRO CASTILLO TERRONES,117
AMAZONAS,ANDRES AVELINO ALCANTARA PAREDES,0
AMAZONAS,CESAR ACUÑA PERALTA,25
AMAZONAS,OLLANTA MOISES HUMALA TASSO,29
AMAZONAS,MARCO ANTONIO ARANA ZEGARRA,18
AMAZONAS,JULIO ARMANDO GUZMAN CACERES,4
AMAZONAS,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,0
AMAZONAS,GEORGE PATRICK FORSYTH SOMMER,9
AMAZONAS,YONHY LESCANO ANCIETA,47
AMAZONAS,HERNANDO DE SOTO POLAR,14
AMAZONAS,DANIEL BELIZARIO URRESTI ELERA,2
AMAZONAS,VERONIKA FANNY MENDOZA FRISCH,37
AMAZONAS,ALBERTO ISMAEL BEINGOLEA DELGADO,2
AMAZONAS,KEIKO SOFIA FUJIMORI HIGUCHI,29
AMAZONAS,JOSE ALEJANDRO VEGA ANTONIO,1
AMAZONAS,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,26
AMAZONAS,CIRO ALFREDO GALVEZ HERRERA,1
AMAZONAS,DANIEL ENRIQUE SALAVERRY VILLA,1
AMAZONAS,JOSE PEDRO CASTILLO TERRONES,44
AMAZONAS,ANDRES AVELINO ALCANTARA PAREDES,0
AMAZONAS,CESAR ACUÑA PERALTA,32
AMAZONAS,OLLANTA MOISES HUMALA TASSO,14
AMAZONAS,MARCO ANTONIO ARANA ZEGARRA,2
AMAZONAS,JULIO ARMANDO GUZMAN CACERES,1
AMAZONAS,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,1
AMAZONAS,GEORGE PATRICK FORSYTH SOMMER,2
AMAZONAS,YONHY LESCANO ANCIETA,28
AMAZONAS,HERNANDO DE SOTO POLAR,3
AMAZONAS,DANIEL BELIZARIO URRESTI ELERA,2
AMAZONAS,VERONIKA FANNY MENDOZA FRISCH,14
AMAZONAS,ALBERTO ISMAEL BEINGOLEA DELGADO,0
AMAZONAS,KEIKO SOFIA FUJIMORI HIGUCHI,88
AMAZONAS,JOSE ALEJANDRO VEGA ANTONIO,1
AMAZONAS,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,6
