candidate,total_votes,percentage
JOSE PEDRO CASTILLO TERRONES,2714152,19.06
KEIKO SOFIA FUJIMORI HIGUCHI,1907896,13.4
RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,1657575,11.64
HERNANDO DE SOTO POLAR,1652682,11.61
YONHY LESCANO ANCIETA,1294681,9.09
VERONIKA FANNY MENDOZA FRISCH,1111407,7.81
CESAR ACUÑA PERALTA,863955,6.07
DANIEL BELIZARIO URRESTI ELERA,808559,5.68
GEORGE PATRICK FORSYTH SOMMER,802957,5.64
JULIO ARMANDO GUZMAN CACERES,319166,2.24
ALBERTO ISMAEL BEINGOLEA DELGADO,282007,1.98
DANIEL ENRIQUE SALAVERRY VILLA,237367,1.67
OLLANTA MOISES HUMALA TASSO,228955,1.61
JOSE ALEJANDRO VEGA ANTONIO,100312,0.7
CIRO ALFREDO GALVEZ HERRERA,88634,0.62
MARCO ANTONIO ARANA ZEGARRA,64217,0.45
RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,54341,0.38
ANDRES AVELINO ALCANTARA PAREDES,50184,0.35
