departamento,candidate,total_votes
AMAZONAS,ALBERTO ISMAEL BEINGOLEA DELGADO,492
AMAZONAS,ANDRES AVELINO ALCANTARA PAREDES,234
AMAZONAS,CESAR ACUÑA PERALTA,11531
AMAZONAS,CIRO ALFREDO GALVEZ HERRERA,774
AMAZONAS,DANIEL BELIZARIO URRESTI ELERA,4937
AMAZONAS,DANIEL ENRIQUE SALAVERRY VILLA,1926
AMAZONAS,GEORGE PATRICK FORSYTH SOMMER,4374
AMAZONAS,HERNANDO DE SOTO POLAR,4433
AMAZONAS,JOSE ALEJANDRO VEGA ANTONIO,2284
AMAZONAS,JOSE PEDRO CASTILLO TERRONES,34464
AMAZONAS,JULIO ARMANDO GUZMAN CACERES,1858
AMAZONAS,KEIKO SOFIA FUJIMORI HIGUCHI,17815
AMAZONAS,MARCO ANTONIO ARANA ZEGARRA,1285
AMAZONAS,OLLANTA MOISES HUMALA TASSO,15642
AMAZONAS,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,8274
AMAZONAS,RAFAEL GASTON TADEO MILAGROS SANTOS NORMAND,279
AMAZONAS,VERONIKA FANNY MENDOZA FRISCH,8894
AMAZONAS,YONHY LESCANO ANCIETA,12703
ANCASH,ALBERTO ISMAEL BEINGOLEA DELGADO,5111
ANCASH,ANDRES AVELINO ALCANTARA PAREDES,1799
ANCASH,CESAR ACUÑA PERALTA,44047
ANCASH,CIRO ALFREDO GALVEZ HERRERA,2540
ANCASH,DANIEL BELIZARIO URRESTI ELERA,23957
ANCASH,DANIEL ENRIQUE SALAVERRY VILLA,10554
ANCASH,GEORGE PATRICK FORSYTH SOMMER,28405
ANCASH,HERNANDO DE SOTO POLAR,34562
ANCASH,JOSE ALEJANDRO VEGA ANTONIO,2668
ANCASH,JOSE PEDRO CASTILLO TERRONES,110620
ANCASH,JULIO ARMANDO GUZMAN CACERES,7307
ANCASH,KEIKO SOFIA FUJIMORI HIGUCHI,67394
ANCASH,MARCO ANTONIO ARANA ZEGARRA,3638
ANCASH,OLLANTA MOISES HUMALA TASSO,6069
ANCASH,RAFAEL BERNARDO LOPEZ ALIAGA CAZORLA,42312
